ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR16A,Hedland WA,Rainfields per 6 minutes,N/A,1.2

IDR171,Broome WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR172,Broome WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR173,Broome WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR174,Broome WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR17A,Broome WA,Rainfields per 6 minutes,N/A,1.2
IDR17B,Broome WA,Rainfields per hour,N/A,1.2
IDR17C,Broome WA,Rainfields since 9am,N/A,10
IDR17D,Broome WA,Rainfields in 24 hours,N/A,240
IDR17I,Broome WA,Doppler wind velocity,N/A,1.2

IDR191,Cairns QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR192,Cairns QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR193,Cairns QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR194,Cairns QLD,Local-scale 64km x 64km Composite,N/A,1.2
IDR19I,Cairns QLD,Doppler wind velocity,N/A,1.2

IDR221,Mackay QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR222,Mackay QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR223,Mackay QLD,Local-scale 128km x 128km Composite,N/A,1.2

IDR231,Gladstone QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR232,Gladstone QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR233,Gladstone QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR23A,Gladstone QLD,Rainfields per 6 minutes,N/A,1.2

IDR241,Bowen QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR242,Bowen QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR243,Bowen QLD,Local-scale 128km x 128km Composite,N/A,1.2
IDR24A,Bowen QLD,Rainfields per 6 minutes,N/A,1.2

IDR251,Alice Springs NT,Broad-scale 512km x 512km Composite,N/A,1.2
IDR252,Alice Springs NT,Mid-scale 256km x 256km Composite,N/A,1.2
IDR253,Alice Springs NT,Local-scale 128km x 128km Composite,N/A,1.2
IDR25A,Alice Springs NT,Rainfields per 6 minutes,N/A,1.2

IDR261,Perth Airport WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR262,Perth Airport WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR263,Perth Airport WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR264,Perth Airport WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR26A,Perth Airport WA,Rainfields per 6 minutes,N/A,1.2

IDR271,Woomera SA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR272,Woomera SA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR273,Woomera SA,Local-scale 128km x 128km Composite,N/A,1.2
IDR27A,Woomera SA,Rainfields per 6 minutes,N/A,1.2

IDR281,Grafton NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR282,Grafton NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR283,Grafton NSW,Local-scale 128km x 128km Composite,N/A,1.2
IDR28A,Grafton NSW,Rainfields per 6 minutes,N/A,1.2

IDR291,Learmonth WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR292,Learmonth WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR293,Learmonth WA,Local-scale 129km x 129km Composite,N/A,1.2
IDR29A,Learmonth WA,Rainfields per 6 minutes,N/A,1.2

IDR311,Albany WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR312,Albany WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR313,Albany WA,Local-scale 131km x 131km Composite,N/A,1.2
IDR314,Albany WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR31A,Albany WA,Rainfields per 6 minutes,N/A,1.2
IDR31B,Albany WA,Rainfields per hour,N/A,1.2
IDR31C,Albany WA,Rainfields since 9am,N/A,10
IDR31D,Albany WA,Rainfields in 24 hours,N/A,240
IDR31I,Albany WA,Doppler wind velocity,N/A,1.2

IDR321,Esperance WA,Broad-scale 512km x 512km Composite,N/A,1.2
